order,i,indrep,avg,author_last,finit_1,finit_2,finit_abv,co_author,sinit_1,sinit_2,sinit_abv,journal,journal_isi,year_pub,study,study_num,subject,latitude,longitude,habitat,loc,trt_taxa,rsp_taxa,trt_taxa_less,rsp_taxa_less,sp1_taxname,sp1_type,sp2_taxname,sp2_type,data_from,data_type,data_var,type_cond,thirdparty_type,condition,duration_d,sep_con,exp_x,exp_n,exp_se,exp_sd,con_x,con_n,con_se,con_sd,data_coll,exclude
11,1,c,11,Dutra,h,p,hp,Etal,,,,Functional Ecology,funct_ecol,2006,DuEt06Fu,118,m,-22.829,-47.109,t,field,ti,tp,i,p,Urera baccifera,plant,various ants,ants,table 2,herbivory,total number of herbivores,temporal,na,2003,44,1,0.83,24,0.14,0.685857128,0.49,29,0.11,0.592368129,scott,0
12,1,c,11,Dutra,h,p,hp,Etal,,,,Functional Ecology,funct_ecol,2006,DuEt06Fu,118,m,-22.829,-47.109,t,field,ti,tp,i,p,Urera baccifera,plant,various ants,ants,figure 6,herbivory,mean % leaf abscission-last census date,temporal,na,2003,44,1,56.1,24,6.9,33.80295845,68.7,29,4.3,23.15620867,scott,0
13,1,c,12,Dutra,h,p,hp,Etal,,,,Functional Ecology,funct_ecol,2006,DuEt06Fu,118,m,-22.829,-47.109,t,field,ti,tp,i,p,Urera baccifera,plant,various ants,ants,table 2,herbivory,total number of herbivores,temporal,na,2004,40,1,0.97,26,0.11,0.560892146,0.73,30,0.1,0.547722558,scott,0
14,1,c,12,Dutra,h,p,hp,Etal,,,,Functional Ecology,funct_ecol,2006,DuEt06Fu,118,m,-22.829,-47.109,t,field,ti,tp,i,p,Urera baccifera,plant,various ants,ants,figure 6,herbivory,mean % leaf abscission-last census date,temporal,na,2004,40,1,37.5,26,5.8,29.57431318,48.1,30,5.9,32.31563089,scott,0
15,1,d,13,Fleet,robert,r,rr,Young,brenda ,l,bl,Southwestern Naturalist,southwest_nat,2000,FlYo00So,142,m,31.607,-94.663,t,field,ti,tp,i,p,Senna occidentalis,plant,various ants,ants,figure 4,fecundity,number of seeds per plant,temporal,na,1995,81,1,204.8,13,38.4,138.453169,1113.6,13,230.4,830.7190139,scott,0
16,1,d,14,Fleet,robert,r,rr,Young,brenda ,l,bl,Southwestern Naturalist,southwest_nat,2000,FlYo00So,142,m,31.607,-94.663,t,field,ti,tp,i,p,Senna occidentalis,plant,various ants,ants,figure 4,fecundity,number of seeds per plant,temporal,na,1996,,1,768,20,102.4,457.9467218,1817.6,20,166.4,744.1634229,scott,0
17,1,d,15,Fleet,robert,r,rr,Young,brenda ,l,bl,Southwestern Naturalist,southwest_nat,2000,FlYo00So,142,m,31.607,-94.663,t,field,ti,tp,i,p,Senna occidentalis,plant,various ants,ants,figure 4,fecundity,number of seeds per plant,temporal,na,1997,111,1,128,19,25.6,111.587813,627.2,19,51.2,223.1756259,scott,0
18,1,e,16,Odowd,dennis,j,dj,Catchpole,e,a,ea,Oecologia,oecologia,1983,OdCa83Oe,328,m,-35.28,149.117,t,field,ti,tp,i,p,Helichrysum viscosum,plant,various ants,ants,table 5,fecundity,intact seeds per capitulum,spatial,na,Black Mtn site,,1,221,10,,107.8,275.2,10,,87.4,scott,0
19,1,e,17,Odowd,dennis,j,dj,Catchpole,e,a,ea,Oecologia,oecologia,1983,OdCa83Oe,328,m,-35.283,149.167,t,field,ti,tp,i,p,Helichrysum viscosum,plant,various ants,ants,table 5,fecundity,intact seeds per capitulum,spatial,na,Mt. Ainslie site,,1,206.3,10,,114.6,208.7,10,,137.5,scott,0
20,1,e,18,Odowd,dennis,j,dj,Catchpole,e,a,ea,Oecologia,oecologia,1983,OdCa83Oe,328,m,-35.63,149.5,t,field,ti,tp,i,p,Helichrysum viscosum,plant,various ants,ants,table 5,fecundity,intact seeds per capitulum,spatial,na,Tallaganda Forest site,,1,68.6,10,,94.9,71.3,10,,87.9,scott,0
21,1,f,19,Barton,andrew ,m,am,,,,,Ecology,ecology,1986,Ba86Ec,15,m,29.614,-82.842,t,field,ti,tp,i,p,Cassia fasciculata,plant,various ants,ants,table 5,fecundity,total pod set ,spatial,na,site 1,80,1,59.07,31,9.583,53.35588589,140.33,38,25.23,155.5281653,scott,0
22,1,f,19,Barton,andrew ,m,am,,,,,Ecology,ecology,1986,Ba86Ec,15,m,29.614,-82.842,t,field,ti,tp,i,p,Cassia fasciculata,plant,various ants,ants,table 5,fecundity,number of seeds per pod,spatial,na,site 1,80,1,10.29,31,0.381,2.121318222,10.14,38,0.381,2.348641735,scott,0
23,1,f,20,Barton,andrew ,m,am,,,,,Ecology,ecology,1986,Ba86Ec,15,m,29.726,-82.441,t,field,ti,tp,i,p,Cassia fasciculata,plant,various ants,ants,table 5,fecundity,total pod set ,spatial,na,site 2,80,1,61.81,30,9.116,49.93038834,73.72,40,7.188,45.46090364,scott,0
24,1,f,20,Barton,andrew ,m,am,,,,,Ecology,ecology,1986,Ba86Ec,15,m,29.726,-82.441,t,field,ti,tp,i,p,Cassia fasciculata,plant,various ants,ants,table 5,fecundity,number of seeds per pod,spatial,na,site 2,80,1,11.05,30,0.403,2.207321907,11.35,40,0.27,1.707629936,scott,0
25,1,f,21,Barton,andrew ,m,am,,,,,Ecology,ecology,1986,Ba86Ec,15,m,29.634,-82.372,t,field,ti,tp,i,p,Cassia fasciculata,plant,various ants,ants,table 5,fecundity,total pod set ,spatial,na,site 3,80,1,108.78,33,16.46,94.55550116,146.95,39,22.34,139.5132553,scott,0
26,1,f,21,Barton,andrew ,m,am,,,,,Ecology,ecology,1986,Ba86Ec,15,m,29.634,-82.372,t,field,ti,tp,i,p,Cassia fasciculata,plant,various ants,ants,table 5,fecundity,number of seeds per pod,spatial,na,site 3,80,1,11.08,33,0.373,2.142721867,11.1,39,0.365,2.279424269,scott,0
27,1,g,22,Boecklen,william ,j,wj,,,,,Ecological Entomology,ecol_entomol,1984,Bo84Ec,42,m,999999,999999,t,field,ti,tp,i,p,Cassia fasciculata,plant,various ants,ants,table 1,fecundity,proportion of pods reaching maturity,spatial,na,site 1,,1,0.69,25,,0.27,0.64,25,,0.25,scott,0
28,1,g,23,Boecklen,william ,j,wj,,,,,Ecological Entomology,ecol_entomol,1984,Bo84Ec,42,m,999999,999999,t,field,ti,tp,i,p,Cassia fasciculata,plant,various ants,ants,table 1,fecundity,proportion of pods reaching maturity,spatial,na,site 2,,1,0.65,12,,0.28,0.64,12,,0.28,scott,0
29,1,h,24,Inouye,david ,w,dw,Taylor,orley ,r,or,Ecology,ecology,1979,InTa79Ec,211,m,39.044,-106.99,t,field,ti,tp,i,p,Helianthella quinquenervis,plant,various ants,ants,table 3,herbivory,% seed predation,spatial,na,Bellview site,,1,25.6,46,,19,12,47,,19.4,scott,0
30,1,h,24,Inouye,david ,w,dw,Taylor,orley ,r,or,Ecology,ecology,1979,InTa79Ec,211,m,39.044,-106.99,t,field,ti,tp,i,p,Helianthella quinquenervis,plant,various ants,ants,table 3,herbivory,mean number of insect predators per flower head ,spatial,na,Bellview site,,1,4.7,44,,5.1,2.4,47,,5.1,scott,0
31,1,h,24,Inouye,david ,w,dw,Taylor,orley ,r,or,Ecology,ecology,1979,InTa79Ec,211,m,39.044,-106.99,t,field,ti,tp,i,p,Helianthella quinquenervis,plant,various ants,ants,table 3,fecundity,number of ovules per flower head,spatial,na,Bellview site,,1,102.3,46,,24.7,107.8,47,,30.9,scott,0
32,1,h,25,Inouye,david ,w,dw,Taylor,orley ,r,or,Ecology,ecology,1979,InTa79Ec,211,m,38.9583,-106.9875,t,field,ti,tp,i,p,Helianthella quinquenervis,plant,various ants,ants,table 3,herbivory,mean number of insect predators per flower head ,spatial,na,Gothic site,,1,14,6,,13,4.8,6,,5,scott,0
33,1,h,25,Inouye,david ,w,dw,Taylor,orley ,r,or,Ecology,ecology,1979,InTa79Ec,211,m,38.9583,-106.9875,t,field,ti,tp,i,p,Helianthella quinquenervis,plant,various ants,ants,table 3,fecundity,number of ovules per flower head,spatial,na,Gothic site,,1,179.3,6,,53.8,162.7,6,,42.1,scott,0
34,1,h,26,Inouye,david ,w,dw,Taylor,orley ,r,or,Ecology,ecology,1979,InTa79Ec,211,m,38.9583,-106.9875,t,field,ti,tp,i,p,Helianthella quinquenervis,plant,various ants,ants,table 3,herbivory,% seed predation,spatial,na,Horse Ranch Park site,,1,77.1,145,,14,40.1,143,,22.1,scott,0
35,1,h,26,Inouye,david ,w,dw,Taylor,orley ,r,or,Ecology,ecology,1979,InTa79Ec,211,m,38.9583,-106.9875,t,field,ti,tp,i,p,Helianthella quinquenervis,plant,various ants,ants,table 3,herbivory,mean number of insect predators per flower head ,spatial,na,Horse Ranch Park site,,1,11.2,145,,6.8,12.5,143,,10.2,scott,0
36,1,h,26,Inouye,david ,w,dw,Taylor,orley ,r,or,Ecology,ecology,1979,InTa79Ec,211,m,38.9583,-106.9875,t,field,ti,tp,i,p,Helianthella quinquenervis,plant,various ants,ants,table 3,fecundity,number of ovules per flower head,spatial,na,Horse Ranch Park site,,1,122.4,145,,36.4,159.3,143,,45.6,scott,0
37,1,i,27,Kelly,carol ,a,ca,,,,,Oecologia,oecologia,1986,Ke86Oe,226,m,41.91,-91.549,t,field,ti,tp,i,p,Cassia fasciculata,plant,various ants,ants,table 3,fecundity,number of seeds per plant,spatial,na,Jolly Roger's Road site,85,1,6.36,19,,4.8,11.92,21,,6.7,scott,0
38,1,i,28,Kelly,carol ,a,ca,,,,,Oecologia,oecologia,1986,Ke86Oe,226,m,41.674,-91.9006,t,field,ti,tp,i,p,Cassia fasciculata,plant,various ants,ants,table 3,fecundity,number of seeds per plant,spatial,na,Williams Prairie site,85,1,3.4,16,,3.3,2.2,26,,2.4,scott,0
39,1,k,29,Philpott,stacy,m,sm,Etal,,,,Biodiversity and Conservation,biodivers_conserv,2006,PhEt06Bi,350,m,15.183,-92.33,t,field,ti,tp,i,p,Coffea arabica,plant,various ants,ants,table 1,fecundity,number of flower buds,spatial,na,high shade site (Finca Irlanda),,1,86.15,15,13.14,50.89100117,97.35,15,11.41,44.19073998,scott,0
40,1,k,29,Philpott,stacy,m,sm,Etal,,,,Biodiversity and Conservation,biodivers_conserv,2006,PhEt06Bi,350,m,15.183,-92.33,t,field,ti,tp,i,p,Coffea arabica,plant,various ants,ants,table 1,fecundity,number of fruits,spatial,na,high shade site (Finca Irlanda),,1,46.38,15,8.22,31.83592311,45.07,15,6.7,25.94898842,scott,0
41,1,k,29,Philpott,stacy,m,sm,Etal,,,,Biodiversity and Conservation,biodivers_conserv,2006,PhEt06Bi,350,m,15.183,-92.33,t,field,ti,tp,i,p,Coffea arabica,plant,various ants,ants,table 1,fecundity,fruit set,spatial,na,high shade site (Finca Irlanda),,1,0.54,15,0.069,0.267235851,0.51,15,0.078,0.302092701,scott,0
42,1,k,29,Philpott,stacy,m,sm,Etal,,,,Biodiversity and Conservation,biodivers_conserv,2006,PhEt06Bi,350,m,15.183,-92.33,t,field,ti,tp,i,p,Coffea arabica,plant,various ants,ants,table 1,fecundity,fruit weight (grams),spatial,na,high shade site (Finca Irlanda),,1,1.03,15,0.03,0.1161895,1.78,15,0.31,1.200624837,scott,0
43,1,k,30,Philpott,stacy,m,sm,Etal,,,,Biodiversity and Conservation,biodivers_conserv,2006,PhEt06Bi,350,m,15.167,-92.3167,t,field,ti,tp,i,p,Coffea arabica,plant,various ants,ants,table 1,fecundity,number of flower buds,spatial,na,low shade site (Finca Hamburgo),,1,131.86,13,17.65,63.63798001,83.87,14,12.01,44.93730522,scott,0
44,1,k,30,Philpott,stacy,m,sm,Etal,,,,Biodiversity and Conservation,biodivers_conserv,2006,PhEt06Bi,350,m,15.167,-92.3167,t,field,ti,tp,i,p,Coffea arabica,plant,various ants,ants,table 1,fecundity,number of fruits,spatial,na,low shade site (Finca Hamburgo),,1,61.87,13,7.05,25.41913649,39.8,14,4.81,17.99737203,scott,0
45,1,k,30,Philpott,stacy,m,sm,Etal,,,,Biodiversity and Conservation,biodivers_conserv,2006,PhEt06Bi,350,m,15.167,-92.3167,t,field,ti,tp,i,p,Coffea arabica,plant,various ants,ants,table 1,fecundity,fruit set,spatial,na,low shade site (Finca Hamburgo),,1,0.53,13,0.058,0.209121974,0.5,14,0.045,0.168374582,scott,0
46,1,k,30,Philpott,stacy,m,sm,Etal,,,,Biodiversity and Conservation,biodivers_conserv,2006,PhEt06Bi,350,m,15.167,-92.3167,t,field,ti,tp,i,p,Coffea arabica,plant,various ants,ants,table 1,fecundity,fruit weight (grams),spatial,na,low shade site (Finca Hamburgo),,1,0.8,13,0.038,0.137010948,0.9,14,0.024,0.089799777,scott,0
47,1,l,31,Ruhren,scott,,s,,,,,Plant Ecology,plant_ecol,2003,Ru03Pl,383,m,40.5,-74.567,t,field,ti,tp,i,p,Chamaecrista nictitans,plant,various ants,ants,figure 2,fecundity,fruit per plant,temporal,na,1996,120,1,12.15,396,0.35,6.96491206,10.69,396,0.31,6.16892211,scott,0
48,1,l,31,Ruhren,scott,,s,,,,,Plant Ecology,plant_ecol,2003,Ru03Pl,383,m,40.5,-74.567,t,field,ti,tp,i,p,Chamaecrista nictitans,plant,various ants,ants,figure 2,fecundity,seeds per plant,temporal,na,1996,120,1,66.34,396,2.57,51.14235427,55.64,396,1.78,35.42155276,scott,0
49,1,l,32,Ruhren,scott,,s,,,,,Plant Ecology,plant_ecol,2003,Ru03Pl,383,m,40.5,-74.567,t,field,ti,tp,i,p,Chamaecrista nictitans,plant,various ants,ants,figure 2,fecundity,fruit per plant,temporal,na,1997,120,1,11.01,119,0.42,4.581659088,11.11,462,0.28,6.018371873,scott,0
50,1,l,32,Ruhren,scott,,s,,,,,Plant Ecology,plant_ecol,2003,Ru03Pl,383,m,40.5,-74.567,t,field,ti,tp,i,p,Chamaecrista nictitans,plant,various ants,ants,figure 2,fecundity,seeds per plant,temporal,na,1997,120,1,59.8,119,2.57,28.03539013,60,462,1.58,33.96081271,scott,0
51,1,m,33,Torres-Hernandez,,,,Etal,,,,Acta Zoologica Mexicana,na_acta_zoologica_mexicana,2000,ToEt00Ac,447,m,19.6,-96.367,t,field,ti,tp,i,p,Turnera ulmifolia,plant,various ants,ants,table 1,fecundity,number of fruits produced per set of plants,temporal,na,1991 & 1992,180,1,129.6,11,26.4,87.7,72.3,11,26.7,88.6,scott,0
52,1,m,34,Torres-Hernandez,,,,Etal,,,,Acta Zoologica Mexicana,na_acta_zoologica_mexicana,2000,ToEt00Ac,447,m,19.6,-96.367,t,field,ti,tp,i,p,Turnera ulmifolia,plant,various ants,ants,table 2,fecundity,number of fruits produced per set of plants,temporal,na,1993,120,1,89.8,4,18.7,37.3,308.8,4,25.9,51.7,scott,0
53,1,n,35,Gaume,laurence,,l,McKey,doyle,,d,Oikos,oikos,1999,GaMc99Oi,163,m,2.567,9.833,t,field,ti,tp,i,p,Leonardoxa africana,plant,Petalomyrmex phylax,ants,"text, pg. 134 (data per tree in Fig. 2)",herbivory,mean % of surface of young leaf removed,species identity,na,Petalomyrmex phylax,14,1,23.74,19,,31.26,1.89,19,,3.66,scott,0
54,1,n,36,Gaume,laurence,,l,McKey,doyle,,d,Oikos,oikos,1999,GaMc99Oi,163,m,2.567,9.833,t,field,ti,tp,i,p,Leonardoxa africana,plant,Cataulacus mckeyi,ants,"text, pg. 134 (data per tree in Fig. 2)",herbivory,mean % of surface of young leaf removed,species identity,na,Cataulacus mckeyi,14,1,45.76,17,,42.04,30.75,17,,36.88,scott,0
55,1,o,37,Miller,tom,ex,tex,,,,,Oikos,oikos,2007,Mi07Oi,276,m,34.333,-106.633,t,field,ti,tp,i,p,Opuntia imbricata,plant,Crematogaster opuntiae,ants,figure 2,herbivory,mean number of damage marks,species identity,na,Crematogaster opuntiae,120,0,0.83,15,0.23,0.89078617,0.76,13,0.22,0.793221281,scott,0
56,1,o,37,Miller,tom,ex,tex,,,,,Oikos,oikos,2007,Mi07Oi,276,m,34.333,-106.633,t,field,ti,tp,i,p,Opuntia imbricata,plant,Crematogaster opuntiae,ants,figure 2,herbivory,% of fruits infested by seed-eating moth larvae,species identity,na,Crematogaster opuntiae,120,0,27.97,15,7.65,29.6283226,19.41,13,8.91,32.12546186,scott,0
57,1,o,38,Miller,tom,ex,tex,,,,,Oikos,oikos,2007,Mi07Oi,276,m,34.333,-106.633,t,field,ti,tp,i,p,Opuntia imbricata,plant,Liometopum apiculatum,ants,figure 2,herbivory,mean number of damage marks,species identity,na,Liometopum apiculatum,120,0,0.83,15,0.23,0.89078617,0.37,41,0.07,0.448218697,scott,0
58,1,o,38,Miller,tom,ex,tex,,,,,Oikos,oikos,2007,Mi07Oi,276,m,34.333,-106.633,t,field,ti,tp,i,p,Opuntia imbricata,plant,Liometopum apiculatum,ants,figure 2,herbivory,% of fruits infested by seed-eating moth larvae,species identity,na,Liometopum apiculatum,120,0,27.97,15,7.65,29.6283226,5.02,41,1.48,9.476623871,scott,0
59,1,q,42,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time1,1168,1,19.74,4,,,14.387,4,6.357,12.714,scott,0
60,1,q,43,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time2,1168,1,13.717,4,4.684,9.368,18.234,4,8.197,16.394,scott,0
61,1,q,44,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time3,1168,1,12.546,4,4.014,8.028,45,4,28.271,56.542,scott,0
62,1,q,45,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time4,1168,1,9.033,4,4.349,8.698,50.353,4,28.606,57.212,scott,0
63,1,q,46,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time5,1168,1,6.691,4,3.68,7.36,48.68,4,27.937,55.874,scott,0
64,1,q,47,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time6,1168,1,4.517,4,3.346,6.692,38.81,4,26.766,53.532,scott,0
65,1,q,48,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time7,1168,1,2.007,4,,,33.792,4,27.267,54.534,scott,0
66,1,q,49,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time8,1168,1,1.84,4,,,35.465,4,22.416,44.832,scott,0
67,1,q,50,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time9,1168,1,1.171,4,,,55.372,4,11.877,23.754,scott,0
68,1,q,51,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time10,1168,1,1.171,4,,,61.896,4,20.576,41.152,scott,0
69,1,q,52,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time11,1168,1,1.004,4,,,52.193,4,11.71,23.42,scott,0
70,1,q,53,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time12,1168,1,0.836,4,,,43.829,4,11.543,23.086,scott,0
71,1,q,54,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time13,1168,1,1.506,4,,,34.796,4,20.241,40.482,scott,0
72,1,q,55,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time14,1168,1,1.171,4,,,36.134,4,18.736,37.472,scott,0
73,1,q,56,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time15,1168,1,5.019,4,3.513,7.026,30.781,4,17.732,35.464,scott,0
74,1,q,57,Moya-Raygoza,gustavo,,g,Nault,lowell,r,lr,Annals of the Entomological Society of America,ann_entomol_soc_am,2000,MoNa00An,298,m,20.7195,-103.392,t,field,ti,ti,i,i,Dalbulus quinquenotatus,cicadellidae,Formica subsericea,ants,figure 3,abundance,number of D. quinquenotatus,temporal,na,Zapopan-time16,1168,1,2.342,4,1.673,3.346,,4,,,scott,0
